0.487619048,"2"
0.975238095,"3"
1.567346939,"4"
2.124625850,"1"
2.728344671,"2"
3.332063492,"3"
3.982222222,"4"
4.481451247,"1"
4.969070295,"2"
5.433469388,"3"
5.897868481,"4"
6.362267574,"1"
6.838276644,"2"
7.302675737,"3"
7.767074830,"4"
8.219863946,"1"
8.695873016,"2"
9.160272109,"3"
9.613061224,"4"
10.089070295,"1"
10.588299320,"2"
11.075918367,"3"
11.551927438,"4"
12.027936508,"1"
12.515555556,"2"
12.991564626,"3"
13.467573696,"4"
13.955192744,"1"
14.454421769,"2"
14.930430839,"3"
15.418049887,"4"
15.905668934,"1"
16.404897959,"2"
16.892517007,"3"
17.391746032,"4"
17.867755102,"1"
18.355374150,"2"
18.842993197,"3"
19.342222222,"4"
19.841451247,"1"
20.317460317,"2"
20.793469388,"3"
21.281088435,"4"
21.768707483,"1"
22.256326531,"2"
22.755555556,"3"
23.266394558,"4"
23.754013605,"1"
24.241632653,"2"
24.740861678,"3"
25.228480726,"4"
25.716099773,"1"
26.203718821,"2"
26.702947846,"3"
27.202176871,"4"
27.689795918,"1"
28.177414966,"2"
28.665034014,"3"
29.152653061,"4"
29.628662132,"1"
30.139501134,"2"
30.673560091,"3"
31.207619048,"4"
31.741678005,"1"
32.264126984,"2"
32.774965986,"3"
33.285804989,"4"
33.796643991,"1"
34.319092971,"2"
34.841541950,"3"
35.352380952,"4"
35.863219955,"1"
36.374058957,"2"
36.884897959,"3"
37.349297052,"4"
37.825306122,"1"
38.289705215,"2"
38.777324263,"3"
39.264943311,"4"
39.764172336,"1"
40.263401361,"2"
40.751020408,"3"
41.238639456,"4"
41.714648526,"1"
42.190657596,"2"
42.678276644,"3"
43.131065760,"4"
43.549024943,"1"
43.978594104,"2"
44.431383220,"3"
44.884172336,"4"
45.325351474,"1"
45.778140590,"2"
46.254149660,"3"
46.718548753,"4"
47.194557823,"1"
47.682176871,"2"
48.169795918,"3"
48.657414966,"4"
49.121814059,"1"
