ID,Universe#,ControllerID,Output#,Name,Location,Comment,Active,Type,Color,ColorName
159,3,11,1,=Burst- Ground- Front- Right- R01,Ground Front Right,,True,22,#00FF40,SpringGreen
160,3,11,2,=Burst- Ground- Front- Right- R02,Ground Front Right,,True,22,#FF0000,Red
161,3,11,3,=Burst- Ground- Front- Right- R03,Ground Front Right,,True,22,#0000FF,Blue
162,3,11,4,=Burst- Ground- Front- Right- R04,Ground Front Right,,True,22,#FF8000,Orange
163,3,11,5,=Burst- Ground- Front- Right- R05,Ground Front Right,,True,18,#8000FF,DarkViolet
164,3,11,6,=Burst- Ground- Front- Right- R06,Ground Front Right,,True,18,#FF0000,Red
165,3,11,7,=Burst- Ground- Front- Right- R07,Ground Front Right,,True,22,#FFFF00,Yellow
166,3,11,8,=Burst- Ground- Front- Right- R08,Ground Front Right,,True,18,#0000FF,Blue
167,3,11,9,=Burst- Ground- Front- Right- R09,Ground Front Right,,True,22,#00FF00,Green
168,3,11,10,=Burst- Ground- Front- Right- R10,Ground Front Right,,True,22,#8000FF,DarkViolet
169,3,11,11,=Burst- Ground- Front- Right- R11,Ground Front Right,,True,22,#FF8000,Orange
170,3,11,12,=Burst- Ground- Front- Right- R12,Ground Front Right,,True,22,#FF0000,Red
171,3,11,13,=Burst- Ground- Front- Right- R13,Ground Front Right,,True,18,#FFFF00,Yellow
172,3,11,14,=Burst- Ground- Front- Right- R14,Ground Front Right,,True,22,#FF00FF,Fuchsia
173,3,11,15,=Burst- Ground- Front- Right- R15,Ground Front Right,,True,22,#00FF00,Green
174,3,11,16,=Burst- Ground- Front- Right- R16,Ground Front Right,,True,18,#0000FF,Blue
175,3,12,1,=Burst- Ground- Rear- Left- L01,Ground Rear Left,,True,22,#00FF40,SpringGreen
176,3,12,2,=Burst- Ground- Rear- Left- L02,Ground Rear Left,,True,22,#FF0000,Red
177,3,12,3,=Burst- Ground- Rear- Left- L03,Ground Rear Left,,True,22,#0000FF,Blue
178,3,12,4,=Burst- Ground- Rear- Left- L04,Ground Rear Left,,True,22,#FF8000,Orange
179,3,12,5,=Burst- Ground- Rear- Left- L05,Ground Rear Left,,True,18,#8000FF,DarkViolet
180,3,12,6,=Burst- Ground- Rear- Left- L06,Ground Rear Left,,True,18,#FF0000,Red
181,3,12,7,=Burst- Ground- Rear- Left- L07,Ground Rear Left,,True,22,#FFFF00,Yellow
182,3,12,8,=Burst- Ground- Rear- Left- L08,Ground Rear Left,,True,18,#0000FF,Blue
183,3,12,9,=Burst- Ground- Rear- Left- L09,Ground Rear Left,,True,22,#00FF00,Green
184,3,12,10,=Burst- Ground- Rear- Left- L10,Ground Rear Left,,True,22,#8000FF,DarkViolet
185,3,12,11,=Burst- Ground- Rear- Left- L11,Ground Rear Left,,True,22,#FF8000,Orange
186,3,12,12,=Burst- Ground- Rear- Left- L12,Ground Rear Left,,True,22,#FF0000,Red
